commit_or_contract	source	subject	classification	final_tree_location	port_action	test_evidence	decision_owner	rationale
ref:merge-base	frozen-ref	1b455471192615e40010d7da2d268d61c0880ad5	baseline	git-history	freeze	git-merge-base	mobile-core	Public and internal comparisons share this merge base.
ref:github/master	frozen-ref	71e7c4a18874c112d9d224ad683c0ee6f3f5ab63	public-master-baseline	git-history	freeze	git-ls-remote	mobile-core	Public master SHA verified before convergence.
ref:github/persistent	frozen-ref	e6217d4176c08d46a11848bf1eb85efc64b25112	public-persistent-baseline	git-history	freeze	git-ls-remote	mobile-core	Public persistent SHA verified before convergence.
ref:origin/main	frozen-ref	9eba8317cd7a8d6d64fc72ba433e90239ce74181	internal-main-baseline	git-history	freeze	git-fetch-prune	mobile-core	Internal branch is named main and is one non-merge commit ahead of public master.
ref:origin/persistent	frozen-ref	f0f55f9444b88b6a195f58ed993120ed3939b152	internal-persistent-baseline	git-history	freeze	git-fetch-prune	mobile-core	Internal persistent tree precedes the public pull-request merge wrapper.
d67720e5be24372ddff62e0ca33cee8f9fea6ac4	public-master-only	perf(producer): reduce non-fast path wait overhead	mixed-runtime-baseline	core/**;adapters/**;tools/**	no-wholesale-port	static-final-tree;current-ctest	mobile-core	Final persistent tree retains evolved producer wait, signing, retry, compression, and transport behavior; replaying this mixed import would delete persistent work.
149337b7c69ad75098d8aa513f6003db7accbbe7	public-master-only	Merge 'feat_improve_sdk_more' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
aa10096b2eb43359b797827b5832c002a04f46e7	public-master-only	Update docs/signing.md	docs-equivalent	docs/signing.md	noop	static-final-tree	mobile-core	Final signing documentation already reflects the supported signing contract.
80ac1c6eea1d9967b479561cf935219067a5ffef	public-master-only	Merge 'main-patch-1' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
773c7c0a919057bf0fefdecb26ab44bfd23c94e9	public-master-only	增加security信息	security-equivalent	SECURITY.md;README.md;docs/security.md	noop	static-final-tree	mobile-core	Security reporting entry and guidance are already tracked.
7ad362599596ad6d017522147b52a3d9f8c7221b	public-master-only	Merge 'security_main' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
792753a4d6e650eaabbffa067017d73a2739d368	public-master-only	Initial commit	license	LICENSE	ported-c6	exact-blob-match-origin-main	release	Restores the public Apache-2.0 license without replaying unrelated history.
98775a32e696ee61867a25333c60c21d7cda349c	public-master-only	docs: polish public docs and add camera credential demo	docs-demo	README.md;docs/**;tools/**	defer-non-core	static-final-tree	release	Core documentation semantics are present; camera demo and generated architecture SVG are not mobile-core blockers and can be handled in C8 release polish.
